,Eqr,RSAM,CO2,H2S,SO2
2009-01-01,0.14285714285714285,84.31744142975201,,,
2009-01-02,0.14285714285714285,112.40174393341512,,,
2009-01-03,0.14285714285714285,134.87517999492482,,,
2009-01-04,0.14285714285714285,157.10968755742337,,,
2009-01-05,0.14285714285714285,91.86424947351838,,,
2009-01-06,0.14285714285714285,188.19570484053244,,,
2009-01-07,0.14285714285714285,186.5144794511404,,,
2009-01-08,0.14285714285714285,146.2737996575116,,,
2009-01-09,0.14285714285714285,91.32369745954216,,,
2009-01-10,0.14285714285714285,481.8837336871888,,,
2009-01-11,0.14285714285714285,188.8957829496717,,,
2009-01-12,0.14285714285714285,109.37905359396528,,,
2009-01-13,0.14285714285714285,112.0184202637433,3110.00256,2.900016,282.00009600000004
2009-01-14,0.14285714285714285,109.2833792174822,,,
2009-01-15,0.14285714285714285,99.15749409381232,,,
2009-01-16,0.14285714285714285,121.77968517909233,,,
2009-01-17,0.14285714285714285,329.7302397957309,,,
2009-01-18,0.14285714285714285,379.7788041642147,,,
2009-01-19,0.14285714285714285,151.3469161061119,,,
2009-01-20,0.14285714285714285,128.80057044466506,,,
2009-01-21,0.14285714285714285,115.76893709812325,,,
2009-01-22,0.14285714285714285,335.9184156548157,,,
2009-01-23,0.14285714285714285,104.6661109393257,,,
2009-01-24,0.14285714285714285,102.33919766174716,,,
2009-01-25,0.14285714285714285,352.8972316728045,,,
2009-01-26,0.14285714285714285,298.7310922424353,,,
2009-01-27,0.14285714285714285,210.36377438383687,,,
2009-01-28,0.14285714285714285,397.99653706238246,,,
2009-01-29,0.14285714285714285,457.67266481440765,,,
2009-01-30,0.14285714285714285,666.5930687081906,,,
2009-01-31,0.14285714285714285,480.11176044530566,,,
2009-02-01,0.14285714285714285,565.8626873972265,,,
2009-02-02,0.14285714285714285,193.11025397813492,,,
2009-02-03,0.14285714285714285,391.2090294776973,,,
2009-02-04,0.14285714285714285,99.23188037980562,,,
2009-02-05,0.14285714285714285,482.4782289214946,,,
2009-02-06,0.14285714285714285,85.26477898712194,,,
2009-02-07,0.14285714285714285,102.80509610279654,,,
2009-02-08,0.14285714285714285,108.6072454070459,,,
2009-02-09,0.14285714285714285,107.1244429898579,,,
2009-02-10,0.14285714285714285,113.92792639211306,,,
2009-02-11,0.14285714285714285,92.85227359434334,,,
